ai_tools_used,ai_dependency_score,ai_generated_content_percentage,ai_ethics_score,last_exam_score,assignment_scores_avg,concept_understanding_score,study_consistency_index,sleep_hours,tutoring_hours,performance_category
Claude,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(3.35-inf)\'',Low
None,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(3.35-inf)\'',Medium
Claude,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',High
Copilot,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(3.35-inf)\'',Low
ChatGPT,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',Medium
Gemini,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',Low
Copilot,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
Copilot,\'(-inf-3.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Low
ChatGPT,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Medium
ChatGPT,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',Medium
Claude,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Medium
Copilot,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(7.5-inf)\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Medium
Copilot,\'(-inf-3.5]\'',\'(-inf-32.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Medium
ChatGPT+Gemini,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(3.35-inf)\'',High
Gemini,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Medium
ChatGPT+Gemini,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
ChatGPT+Gemini,\'(-inf-3.5]\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',High
Gemini,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Medium
Copilot,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',High
Claude,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Low
Gemini,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(7.5-inf)\'',\'(4.05-7.05]\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Medium
ChatGPT,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Medium
Copilot,\'(-inf-3.5]\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',Low
Gemini,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Low
Gemini,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',Medium
None,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(5.65-7.25]\'',\'(-inf-1.75]\'',Medium
Gemini,\'(-inf-3.5]\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(-inf-4.05]\'',\'(7.25-inf)\'',\'(-inf-1.75]\'',Medium
Claude,\'(-inf-3.5]\'',\'(32.5-66.5]\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
ChatGPT+Gemini,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(7.5-inf)\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Medium
ChatGPT+Gemini,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Medium
None,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',Low
Gemini,\'(-inf-3.5]\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(-inf-1.75]\'',Low
Gemini,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(-inf-53.65]\'',\'(7.5-inf)\'',\'(-inf-4.05]\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Medium
ChatGPT+Gemini,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Medium
Claude,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Low
Copilot,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(45.5-72.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Medium
ChatGPT+Gemini,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Medium
Gemini,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Low
Claude,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Low
Claude,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Medium
None,\'(-inf-3.5]\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(-inf-4.05]\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Medium
Gemini,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(-inf-3.5]\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(7.5-inf)\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',Medium
ChatGPT,\'(-inf-3.5]\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',Medium
Claude,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Medium
ChatGPT+Gemini,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(7.5-inf)\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',Medium
ChatGPT,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Low
None,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Low
Copilot,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Low
ChatGPT+Gemini,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(-inf-3.5]\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Medium
None,\'(-inf-3.5]\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',High
None,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(-inf-4.05]\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',Low
None,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',Medium
Gemini,\'(-inf-3.5]\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(4.05-7.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Medium
ChatGPT,\'(-inf-3.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(-inf-53.65]\'',\'(7.5-inf)\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',Medium
None,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
None,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(7.5-inf)\'',\'(4.05-7.05]\'',\'(7.25-inf)\'',\'(3.35-inf)\'',Medium
None,\'(-inf-3.5]\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Low
ChatGPT+Gemini,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(7.25-inf)\'',\'(-inf-1.75]\'',Low
None,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(7.5-inf)\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Medium
Claude,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(7.5-inf)\'',\'(7.05-inf)\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Medium
Gemini,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(5.65-7.25]\'',\'(-inf-1.75]\'',Low
ChatGPT,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Medium
Claude,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Medium
None,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(76.65-inf)\'',\'(3.5-7.5]\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Medium
Gemini,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
Gemini,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(-inf-4.05]\'',\'(7.25-inf)\'',\'(3.35-inf)\'',High
ChatGPT,\'(3.5-6.5]\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Low
ChatGPT,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(5.65-7.25]\'',\'(-inf-1.75]\'',Medium
ChatGPT,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(3.5-7.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(-inf-1.75]\'',Low
ChatGPT+Gemini,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
Gemini,\'(6.5-inf)\'',\'(-inf-32.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(-inf-53.65]\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(7.25-inf)\'',\'(3.35-inf)\'',Medium
None,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(1.75-3.35]\'',Low
Copilot,\'(-inf-3.5]\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(-inf-1.75]\'',Medium
Claude,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
ChatGPT,\'(-inf-3.5]\'',\'(32.5-66.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(-inf-53.65]\'',\'(-inf-3.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(-inf-1.75]\'',Low
Gemini,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(-inf-3.5]\'',\'(-inf-45.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(-inf-1.75]\'',Low
None,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(3.5-6.5]\'',\'(72.5-inf)\'',\'(76.65-inf)\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(7.25-inf)\'',\'(-inf-1.75]\'',Medium
Claude,\'(6.5-inf)\'',\'(66.5-inf)\'',\'(-inf-3.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(7.05-inf)\'',\'(5.65-7.25]\'',\'(1.75-3.35]\'',Low
Copilot,\'(3.5-6.5]\'',\'(-inf-32.5]\'',\'(-inf-3.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(-inf-3.5]\'',\'(4.05-7.05]\'',\'(7.25-inf)\'',\'(1.75-3.35]\'',Low
Claude,\'(6.5-inf)\'',\'(32.5-66.5]\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(3.5-7.5]\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',Medium
Copilot,\'(-inf-3.5]\'',\'(32.5-66.5]\'',\'(6.5-inf)\'',\'(72.5-inf)\'',\'(53.65-76.65]\'',\'(7.5-inf)\'',\'(-inf-4.05]\'',\'(-inf-5.65]\'',\'(3.35-inf)\'',High
None,\'(3.5-6.5]\'',\'(32.5-66.5]\'',\'(3.5-6.5]\'',\'(45.5-72.5]\'',\'(53.65-76.65]\'',\'(7.5-inf)\'',\'(4.05-7.05]\'',\'(5.65-7.25]\'',\'(3.35-inf)\'',Medium
